Timestamp,Tickers,AAPL_Weight,MSFT_Weight,GOOGL_Weight
2025-10-27 18:45:51.872409,"AAPL, MSFT, GOOGL",0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-10-27 18:46:01.303032,"AAPL, MSFT, GOOGL",0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-10-27 18:47:48.583246,"AAPL, MSFT, GOOGL",0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-10-27 19:15:37.582631,"AAPL, MSFT, GOOGL",0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-10-27 20:55:10.432509,"AAPL, MSFT, GOOGL",0.6397542740266758,0.2805250498583715,0.0797206761149525
2025-10-27 21:02:21.139366,"AAPL, MSFT, GOOGL",0.6397546435835596,0.2805254111391337,0.0797199452773067
2025-10-27 21:03:37.351445,"AAPL, MSFT, GOOGL",0.6397550382349234,0.2805242175602202,0.0797207442048563
2025-10-27 21:05:10.678791,"AAPL, MSFT, GOOGL",0.6397547193342914,0.2805248504205034,0.0797204302452051
2025-10-27 21:15:03.804862,"AAPL, MSFT, GOOGL",0.6397546891295647,0.2805249812716371,0.0797203295987981
2025-10-27 23:41:23.397371,"AAPL, MSFT, GOOGL",0.6397544737335759,0.28052475207009553,0.07972077419632857
