Date,AAPL,MSFT,GOOGL
2023-01-04,0.010314197280898663,-0.043743270438826976,-0.011669560926951705
2023-01-05,-0.010604567434640999,-0.029637911259499772,-0.02134427933229266
2023-01-06,0.03679391427495671,0.011785362171785607,0.013225008007297756
2023-01-09,0.0040889318655605855,0.009736445682896111,0.007785626908410004
2023-01-10,0.004456484920916104,0.007617044007970142,0.004544450873761763
2023-01-11,0.021112351586790812,0.030238261830434654,0.0350599478714162
2023-01-12,-0.0005992995961277003,0.011621440391098137,-0.004261369836337514
2023-01-13,0.01011904216484072,0.0030187186052774706,0.010863649743921622
2023-01-17,0.008756421228206968,0.004681847465105804,-0.00900993983727838
2023-01-18,-0.005370135481038485,-0.018889267079671757,-0.0018621459942992358
2023-01-19,0.00044392868301157407,-0.01645386712764596,0.02118084500810702
2023-01-20,0.019220594824685966,0.0357435244782629,0.05341208588533619
2023-01-23,0.023500326775341973,0.009824383234105172,0.01805751605076389
2023-01-24,0.010063301785885326,-0.0022261492208477396,-0.020943980256936
2023-01-25,-0.004700821620544193,-0.005908150361073727,-0.025383831457372663
2023-01-26,0.014803258067176195,0.03071364796381304,0.024154540654294454
2023-01-27,0.013684418148076638,0.0006452193028789743,0.018970608334183403
2023-01-30,-0.020078221410873898,-0.021961643474758707,-0.02445411660350283
2023-01-31,0.009020794118586029,0.02101253946874615,0.019599598544585373
2023-02-01,0.007900969030676608,0.019934762802488404,0.016086766677956943
2023-02-02,0.03706266406465053,0.046884212433139894,0.07278699569423175
2023-02-03,0.024399895718347553,-0.02362054461202001,-0.027473578189066594
2023-02-06,-0.017928791419579482,-0.0061157187819652625,-0.017942249251263753
2023-02-07,0.019244629207171515,0.04202204609638338,0.04606409114377952
2023-02-08,-0.017652752718779086,-0.003101982618126442,-0.07683013976142794
2023-02-09,-0.006911653128455764,-0.011659831695060463,-0.043876463434592616
2023-02-10,0.0024564329311758115,-0.00197234388420775,-0.004631201432035548
2023-02-13,0.018806796905214584,0.031242661405223915,0.0004230510510032648
2023-02-14,-0.004225183087417483,0.003132909075171053,0.0007397826804134144
2023-02-15,0.013903442272088062,-0.007992650446908,0.023869989914717227
2023-02-16,-0.010429242142732331,-0.026622865875247426,-0.01475130724612761
2023-02-17,-0.0075468811582076745,-0.015601863735938193,-0.01214548099133772
2023-02-21,-0.026679814275175295,-0.020886491413029895,-0.02713294397551269
2023-02-22,0.0028962213535996817,-0.00459103734061761,-0.0015251883721459913
2023-02-23,0.0032904330914662605,0.012961730693145546,-0.008292468758968607
2023-02-24,-0.01800529781106952,-0.021784362966070114,-0.019364104273572047
2023-02-27,0.008247653716493941,0.003771771998196005,0.008302489203980024
2023-02-28,-0.003447719390235804,-0.0029581245545045043,0.0021142424325053533
2023-03-01,-0.014246099695237047,-0.012629224249432691,0.0033310908264752026
2023-03-02,0.0041291079355449956,0.019653178971684726,0.018149567878159578
2023-03-03,0.03508990211643215,0.016645973336980813,0.01793483379792815
2023-03-06,0.0185394559593548,0.006189038153934678,0.01580345919533488
2023-03-07,-0.014496335916535097,-0.010589003237355565,-0.013350136379394195
2023-03-08,0.008377151067458177,-0.0017705012470383696,0.004155212393891494
2023-03-09,-0.014914530104573887,-0.005439506482893486,-0.020477520550509887
2023-03-10,-0.013878577681252557,-0.014782929113466237,-0.018305945906364585
2023-03-13,0.013265697027053047,0.02144099699140467,0.0052962932982190125
